Designator,Mid X,Mid Y,Rotation,Layer
C1,123.7684,-109.474,270,top
C2,123.6726,-106.5276,90,top
C3,121.9708,-106.4768,90,top
C4,169.1132,-107.4928,180,top
C5,157.48,-110.236,90,top
D1,152.146,-136.398,0,top
D10,142.5725,-93.712,0,top
D11,152.4,-93.712,0,top
D12,140.188,-75.71,0,top
D13,142.5725,-98.712,0,top
D14,152.38,-84.854,0,top
D15,140.2,-80.01,0,top
D16,149.5075,-75.692,0,top
D17,149.4465,-80.01,0,top
D18,147.32,-98.712,0,top
D19,152.3215,-88.5,0,top
D2,137.414,-88.5,0,top
D20,147.2415,-88.5,0,top
D21,137.414,-70.866,0,top
D22,142.409333,-70.866,0,top
D23,147.32,-84.836,0,top
D24,147.554,-70.884,0,top
D25,152.4,-70.866,0,top
D3,142.494,-88.5,0,top
D4,137.4925,-84.836,0,top
D5,142.5725,-84.836,0,top
D6,152.38,-98.712,0,top
D7,137.4925,-93.712,0,top
D8,147.32,-93.712,0,top
D9,137.4925,-98.712,0,top
J2,106.426,-92.408,270,top
J3,180.91,-86.36,90,top
J4,185.144,-111.506,90,top
J5,181.62,-100.191,180,top
J6,113.328,-106.918,270,top
R1,120.904,-110.49,270,top
R2,123.444,-116.332,0,top
R3,128.27,-116.332,0,top
R4,156.21,-130.048,270,top
R5,161.036,-110.236,270,top
RN1,164.54,-91.05,0,top
RN2,164.54,-86.736,180,top
RN3,138.176,-105.156,180,top
RN4,164.54,-77.35,0,top
RN5,164.54,-82.688,180,top
RN6,160.1,-84.02,270,top
RN7,158.746,-74.922,270,top
SW2,162.179,-123.444,0,top
U1,129.683,-106.534,0,top
